>truncated ORF8 protein [Severe acute respiratory syndrome coronavirus 2],>orf8
>truncated ORF7b [Severe acute respiratory syndrome coronavirus 2],orf7b
>truncated ORF7a protein [Severe acute respiratory syndrome coronavirus 2],>orf7a
>truncated ORF3a protein [Severe acute respiratory syndrome coronavirus 2],>orf3a
>truncated ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],>orf1ab
>truncated ORF10 protein [Severe acute respiratory syndrome coronavirus 2],>orf10
>surface glycoprotein, partial [Severe acute respiratory syndrome coronavirus 2],>sgp
>surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],>sgp
>ORF8 protein, partial [Severe acute respiratory syndrome coronavirus 2],>orf8
>ORF8 protein [Severe acute respiratory syndrome coronavirus 2],>orf8
>ORF7b, partial [Severe acute respiratory syndrome coronavirus 2],>orf7b
>ORF7b protein [Severe acute respiratory syndrome coronavirus 2],>orf7b
>ORF7b [Severe acute respiratory syndrome coronavirus 2],>orf7b
>ORF7a protein, partial [Severe acute respiratory syndrome coronavirus 2],>orf7a
>ORF7a protein [Severe acute respiratory syndrome coronavirus 2],>orf7a
>ORF6 protein, partial [Severe acute respiratory syndrome coronavirus 2],>orf6
>ORF6 protein [Severe acute respiratory syndrome coronavirus 2],>orf6
>ORF3a, partial [Severe acute respiratory syndrome coronavirus 2],>orf3a
>ORF3a protein, partial [Severe acute respiratory syndrome coronavirus 2],>orf3a
>ORF3a protein [Severe acute respiratory syndrome coronavirus 2],>orf3a
>ORF3a [Severe acute respiratory syndrome coronavirus 2],>orf3a
>ORF1ab protein [Severe acute respiratory syndrome coronavirus 2],>orf1ab
>ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2],>orf1ab
>ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],>orf1ab
>ORF1a polyprotein, partial [Severe acute respiratory syndrome coronavirus 2],>orf1a
>ORF1a polyprotein [Severe acute respiratory syndrome coronavirus 2],>orf1a
>ORF10 protein, partial [Severe acute respiratory syndrome coronavirus 2],>orf10
>ORF10 protein [Severe acute respiratory syndrome coronavirus 2],>orf10
>nucleocapsid protein, partial [Severe acute respiratory syndrome coronavirus 2],>ncp
>nucleocapsid protein [Severe acute respiratory syndrome coronavirus 2],>ncp
>nucleocapsid phosphoprotein, partial [Severe acute respiratory syndrome coronavirus 2],>ncp
>nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],>ncp
>membrane protein [Severe acute respiratory syndrome coronavirus 2],>ncp
>membrane glycoprotein, partial [Severe acute respiratory syndrome coronavirus 2],>mgp
>membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],>mgp
>envelope protein, partial [Severe acute respiratory syndrome coronavirus 2],>envp
>envelope protein [Severe acute respiratory syndrome coronavirus 2],>envp
